Source,Target,EdgeType,Weight
36,213,属于,1
36,93,采用,1
36,151,使用,1
36,42,风险等级,1
36,146,精度等级,1
184,182,从事,1
184,335,掌握,1
335,62,应用于,1
184,116,体现,1
184,139,体现,1
184,157,体现,1
184,62,属于,1
184,284,采用,1
184,31,使用,1
184,42,风险等级,1
184,144,精度等级,1
227,12,从事,1
227,337,掌握,1
337,340,应用于,1
227,116,体现,1
227,139,体现,1
227,310,体现,1
310,340,属于,1
227,340,属于,1
227,284,采用,1
227,31,使用,1
227,42,风险等级,1
227,144,精度等级,1
206,266,从事,1
206,37,掌握,1
37,213,应用于,1
206,116,体现,1
206,139,体现,1
206,310,体现,1
310,213,属于,1
206,213,属于,1
206,284,采用,1
206,31,使用,1
206,144,风险等级,1
206,146,精度等级,1
269,57,从事,1
269,270,掌握,1
270,17,应用于,1
269,116,体现,1
269,152,体现,1
269,157,体现,1
269,17,属于,1
269,334,采用,1
269,31,使用,1
269,67,风险等级,1
269,144,精度等级,1
137,262,从事,1
137,103,掌握,1
103,340,应用于,1
137,116,体现,1
137,139,体现,1
137,157,体现,1
137,340,属于,1
137,284,采用,1
137,151,使用,1
137,144,风险等级,1
137,146,精度等级,1
302,258,从事,1
302,123,掌握,1
123,340,应用于,1
302,116,体现,1
302,157,体现,1
302,139,体现,1
302,340,属于,1
302,284,采用,1
302,65,使用,1
302,67,风险等级,1
302,146,精度等级,1
314,210,从事,1
314,51,掌握,1
51,213,应用于,1
314,310,体现,1
314,116,体现,1
314,157,体现,1
314,213,属于,1
314,284,采用,1
314,31,使用,1
314,42,风险等级,1
314,144,精度等级,1
59,126,从事,1
59,280,掌握,1
280,340,应用于,1
59,116,体现,1
59,157,体现,1
59,139,体现,1
59,340,属于,1
59,93,采用,1
59,31,使用,1
59,42,风险等级,1
59,146,精度等级,1
14,111,从事,1
14,242,掌握,1
242,17,应用于,1
14,310,体现,1
14,152,体现,1
14,116,体现,1
14,17,属于,1
14,334,采用,1
14,31,使用,1
14,67,风险等级,1
14,144,精度等级,1
6,0,从事,1
6,307,掌握,1
307,213,应用于,1
6,310,体现,1
6,116,体现,1
6,139,体现,1
6,213,属于,1
6,284,采用,1
6,31,使用,1
6,42,风险等级,1
6,146,精度等级,1
228,4,从事,1
228,98,掌握,1
98,213,应用于,1
228,116,体现,1
228,157,体现,1
228,139,体现,1
228,213,属于,1
228,284,采用,1
228,31,使用,1
228,42,风险等级,1
228,146,精度等级,1
241,322,从事,1
241,183,掌握,1
183,340,应用于,1
241,310,体现,1
241,116,体现,1
241,139,体现,1
241,340,属于,1
241,284,采用,1
241,31,使用,1
241,42,风险等级,1
241,144,精度等级,1
194,222,从事,1
194,50,掌握,1
50,213,应用于,1
194,116,体现,1
194,139,体现,1
194,152,体现,1
152,213,属于,1
194,213,属于,1
194,284,采用,1
194,31,使用,1
194,42,风险等级,1
194,146,精度等级,1
129,179,从事,1
129,256,掌握,1
256,17,应用于,1
129,116,体现,1
129,152,体现,1
129,157,体现,1
129,17,属于,1
129,93,采用,1
129,65,使用,1
129,67,风险等级,1
129,144,精度等级,1
343,147,从事,1
343,23,掌握,1
23,340,应用于,1
343,116,体现,1
343,152,体现,1
152,340,属于,1
343,157,体现,1
343,340,属于,1
343,284,采用,1
343,31,使用,1
343,42,风险等级,1
343,146,精度等级,1
40,259,从事,1
40,192,掌握,1
192,340,应用于,1
40,310,体现,1
40,116,体现,1
40,139,体现,1
40,340,属于,1
40,284,采用,1
40,31,使用,1
40,42,风险等级,1
40,144,精度等级,1
274,68,从事,1
274,77,掌握,1
77,340,应用于,1
274,116,体现,1
274,139,体现,1
274,310,体现,1
274,340,属于,1
274,284,采用,1
274,151,使用,1
274,144,风险等级,1
274,146,精度等级,1
250,304,从事,1
250,255,掌握,1
255,17,应用于,1
250,310,体现,1
250,116,体现,1
250,152,体现,1
250,17,属于,1
250,334,采用,1
250,31,使用,1
250,67,风险等级,1
250,144,精度等级,1
176,82,从事,1
176,145,掌握,1
145,213,应用于,1
176,10,体现,1
10,213,属于,1
176,224,体现,1
224,213,属于,1
176,178,体现,1
178,213,属于,1
176,213,属于,1
176,93,采用,1
176,31,使用,1
176,144,风险等级,1
176,146,精度等级,1
265,225,从事,1
265,243,掌握,1
243,17,应用于,1
265,310,体现,1
265,152,体现,1
265,116,体现,1
265,17,属于,1
265,334,采用,1
265,31,使用,1
